optimizer,lr,batch_size,hidden_sizes,dropout,epochs,mse,r2
adam,0.005,32,"(128, 64)",0.2,100,8.338899180453287,0.9915662744867952
adam,0.0001,32,"(64, 32)",0.2,100,9.231610695808946,0.9906634114445564
adam,0.001,64,"(128, 64)",0.2,100,11.198489561880885,0.9886741660879201
adam,0.0001,64,"(128, 64)",0.2,100,11.364037669199222,0.9885067354395648
adam,0.001,32,"(128, 64)",0.2,100,11.861921479761474,0.9880031899109664
adam,0.0001,64,"(64, 32)",0.2,100,14.664108552224228,0.9851691375865063
rmsprop,0.0001,32,"(128, 64)",0.2,100,15.491735993817652,0.9843320987257947
adam,0.0001,64,"(64, 32)",0.3,100,17.33036627255964,0.9824725603436153
adam,0.001,64,"(64, 32)",0.3,100,18.03963106821003,0.9817552300973502
adam,0.005,64,"(64, 32)",0.3,100,19.68881178799863,0.9800872956120683
adam,0.001,32,"(128, 64)",0.3,100,21.468548474783585,0.9782873205341458
adam,0.0001,32,"(128, 64)",0.2,100,21.8018965466415,0.9779501817730734
adam,0.001,64,"(128, 64)",0.3,100,25.225972342630275,0.9744871688771425
adam,0.001,64,"(64, 32)",0.2,100,27.00809355913247,0.9726847821536684
rmsprop,0.001,32,"(128, 64)",0.3,100,27.198147141247826,0.9724925673649203
rmsprop,0.001,64,"(64, 32)",0.3,100,29.398133590341295,0.9702675636272667
rmsprop,0.001,64,"(128, 64)",0.3,100,31.32453031892514,0.96831926075337
rmsprop,0.001,64,"(64, 32)",0.2,100,31.729095748231302,0.9679100947820513
adam,0.0001,32,"(128, 64)",0.3,100,36.19505907074005,0.9633933464680332
rmsprop,0.0001,64,"(128, 64)",0.2,100,37.66568825089992,0.9619059939327907
rmsprop,0.0001,32,"(128, 64)",0.3,100,39.479952608378184,0.9600710985505287
rmsprop,0.0001,64,"(64, 32)",0.2,100,40.390172867160544,0.9591505276630521
adam,0.005,64,"(64, 32)",0.2,100,41.870817406456894,0.9576530458783673
adam,0.005,64,"(128, 64)",0.2,100,43.00635244319185,0.9565045980313304
adam,0.005,64,"(128, 64)",0.3,100,44.80222831894013,0.9546883002366107
rmsprop,0.001,32,"(128, 64)",0.2,100,45.511946205027485,0.9539705117475613
adam,0.001,32,"(64, 32)",0.3,100,46.18593734457355,0.9532888562740681
rmsprop,0.0001,32,"(64, 32)",0.2,100,46.265503735474674,0.9532083850887936
adam,0.0001,32,"(64, 32)",0.3,100,54.5823114830941,0.9447970022225836
rmsprop,0.0001,32,"(64, 32)",0.3,100,60.44838689148601,0.93886422035731
adam,0.005,32,"(64, 32)",0.3,100,62.440420875612205,0.9368495338295634
rmsprop,0.001,32,"(64, 32)",0.2,100,67.61145863166135,0.9316196932823646
adam,0.001,32,"(64, 32)",0.2,100,71.99175255053467,0.9271895885671605
adam,0.005,32,"(64, 32)",0.2,100,78.1700867423946,0.9209409970474148
rmsprop,0.0001,64,"(64, 32)",0.3,100,92.575879904459,0.9063713874742901
rmsprop,0.005,32,"(64, 32)",0.3,100,135.9118291968318,0.862542640624497
rmsprop,0.005,32,"(64, 32)",0.2,100,146.70570713447876,0.8516260194039724
adam,0.0001,64,"(128, 64)",0.3,100,154.65391456950115,0.8435874284127153
rmsprop,0.005,64,"(128, 64)",0.3,100,160.2072894249219,0.8379709029950275
rmsprop,0.001,64,"(128, 64)",0.2,100,203.20847679485712,0.79448072483458
rmsprop,0.0001,64,"(128, 64)",0.3,100,208.64444682665092,0.788982939317084
rmsprop,0.005,64,"(64, 32)",0.2,100,230.52145878360253,0.7668571515000882
rmsprop,0.005,32,"(128, 64)",0.2,100,255.78093854908576,0.7413104319225459
adam,0.005,32,"(128, 64)",0.3,100,281.4680494152233,0.7153312184095594
rmsprop,0.001,32,"(64, 32)",0.3,100,323.3875660593562,0.6729350112637116
rmsprop,0.005,64,"(128, 64)",0.2,100,389.30987866203265,0.6062630588086594
rmsprop,0.005,64,"(64, 32)",0.3,100,665.0288016418743,0.3274087802176522
rmsprop,0.005,32,"(128, 64)",0.3,100,780.1088535196293,0.21102008806780914
