optimizer,lr,batch_size,hidden_size,num_layers,epochs,mse,r2
adam,0.0001,32,64,1,20,60.62842158297706,0.9360696840162596
adam,0.0001,32,64,2,20,266.8124249941068,0.7186566598156239
adam,0.0001,32,100,1,20,760.7850915256578,0.19778166696310173
adam,0.0001,32,100,2,20,87.92326317871495,0.9072883335805819
adam,0.0001,64,64,1,20,81.09597564002114,0.9144874431444552
adam,0.0001,64,64,2,20,805.70001169779,0.15042062796493116
adam,0.0001,64,100,1,20,813.0438352309526,0.14267685125516893
adam,0.0001,64,100,2,20,2911.672761977846,-2.070245849295844
adam,0.001,32,64,1,20,27.641206536009523,0.9708534211862926
adam,0.001,32,64,2,20,82.70595841648291,0.9127897788322363
adam,0.001,32,100,1,20,23.970359441861014,0.9747241868854413
adam,0.001,32,100,2,20,23.915685022069745,0.9747818389377663
adam,0.001,64,64,1,20,28.735614153572527,0.9696994108561695
adam,0.001,64,64,2,20,370.31069996049456,0.6095217483398646
adam,0.001,64,100,1,20,40.18660756317188,0.95762478301844
adam,0.001,64,100,2,20,36.33504362601746,0.9616861076101888
adam,0.005,32,64,1,20,37.21015861529508,0.9607633328401075
adam,0.005,32,64,2,20,32.600035230422556,0.9656245289099337
adam,0.005,32,100,1,20,18.31177790563718,0.9806909413577715
adam,0.005,32,100,2,20,122.44091410125688,0.8708908112160191
adam,0.005,64,64,1,20,23.628719331739582,0.9750844331135718
adam,0.005,64,64,2,20,177.09249603305253,0.8132628405269063
adam,0.005,64,100,1,20,112.953278486899,0.8808951545079577
adam,0.005,64,100,2,20,105.0267254130157,0.8892533968874283
rmsprop,0.0001,32,64,1,20,628.8173771779898,0.33693649662251723
rmsprop,0.0001,32,64,2,20,58.4513749007978,0.938365295194469
rmsprop,0.0001,32,100,1,20,38.020387315937946,0.9599089781414567
rmsprop,0.0001,32,100,2,20,85.4337302848245,0.9099134493332741
rmsprop,0.0001,64,64,1,20,634.8402588304816,0.3305856018256027
rmsprop,0.0001,64,64,2,20,157.11949340291915,0.8343235961255152
rmsprop,0.0001,64,100,1,20,87.55533592236402,0.9076762985835196
rmsprop,0.0001,64,100,2,20,88.70859828926444,0.9064602282059131
rmsprop,0.001,32,64,1,20,36.92111773767079,0.9610681152203225
rmsprop,0.001,32,64,2,20,31.801195450023908,0.9664668744344889
rmsprop,0.001,32,100,1,20,61.858160565592534,0.9347729720174401
rmsprop,0.001,32,100,2,20,166.95570005445322,0.8239516982120373
rmsprop,0.001,64,64,1,20,24.876320591952894,0.973768886036728
rmsprop,0.001,64,64,2,20,270.51846893337927,0.7147487804102026
rmsprop,0.001,64,100,1,20,25.998443377559138,0.9725856511382541
rmsprop,0.001,64,100,2,20,167.8385551504724,0.8230207617999931
rmsprop,0.005,32,64,1,20,177.59633749707254,0.8127315592703684
rmsprop,0.005,32,64,2,20,548.1316597383986,0.42201645213856454
rmsprop,0.005,32,100,1,20,918.2560385018531,0.03173466894470689
rmsprop,0.005,32,100,2,20,2028.6582885037662,-1.139141379915031
rmsprop,0.005,64,64,1,20,143.54384303870583,0.8486385922083527
rmsprop,0.005,64,64,2,20,181.9222505632856,0.8081700519439293
rmsprop,0.005,64,100,1,20,6153.903487011706,-5.489052233029979
rmsprop,0.005,64,100,2,20,1419.3210181304444,-0.49661889263038805
